actual	predicted	count	x	y	strategy	metric	direction	threshold
TASK07_CON33	TASK07_CON39	332	31	37	svi	spearman	posneg	5
TASK07_CON33	TASK07_CON40	0	31	38	svi	spearman	posneg	5
TASK07_CON33	TASK07_CON41	0	31	39	svi	spearman	posneg	5
TASK07_CON33	TASK07_CON45	0	31	40	svi	spearman	posneg	5
TASK07_CON33	TASK07_CON46	0	31	41	svi	spearman	posneg	5
TASK07_CON33	TASK07_CON47	0	31	42	svi	spearman	posneg	5
TASK07_CON33	TASK07_CON48	0	31	43	svi	spearman	posneg	5
TASK07_CON33	TASK07_CON49	0	31	44	svi	spearman	posneg	5
TASK07_CON33	TASK07_CON50	0	31	45	svi	spearman	posneg	5
TASK07_CON33	TASK07_CON51	0	31	46	svi	spearman	posneg	5
TASK07_CON33	TASK07_CON52	0	31	47	svi	spearman	posneg	5
TASK07_CON34	TASK01_CON07	0	32	1	svi	spearman	posneg	5
TASK07_CON34	TASK01_CON08	0	32	2	svi	spearman	posneg	5
TASK07_CON34	TASK01_CON09	0	32	3	svi	spearman	posneg	5
TASK07_CON34	TASK02_CON25	0	32	4	svi	spearman	posneg	5
TASK07_CON34	TASK02_CON26	0	32	5	svi	spearman	posneg	5
TASK07_CON34	TASK02_CON27	0	32	6	svi	spearman	posneg	5
TASK07_CON34	TASK03_CON19	0	32	7	svi	spearman	posneg	5
TASK07_CON34	TASK03_CON20	0	32	8	svi	spearman	posneg	5
TASK07_CON34	TASK03_CON22	0	32	9	svi	spearman	posneg	5
TASK07_CON34	TASK04_CON61	0	32	10	svi	spearman	posneg	5
TASK07_CON34	TASK04_CON62	0	32	11	svi	spearman	posneg	5
TASK07_CON34	TASK04_CON63	0	32	12	svi	spearman	posneg	5
TASK07_CON34	TASK04_CON64	0	32	13	svi	spearman	posneg	5
TASK07_CON34	TASK04_CON65	0	32	14	svi	spearman	posneg	5
TASK07_CON34	TASK04_CON66	0	32	15	svi	spearman	posneg	5
TASK07_CON34	TASK04_CON67	0	32	16	svi	spearman	posneg	5
TASK07_CON34	TASK04_CON68	0	32	17	svi	spearman	posneg	5
TASK07_CON34	TASK04_CON69	0	32	18	svi	spearman	posneg	5
TASK07_CON34	TASK04_CON70	0	32	19	svi	spearman	posneg	5
TASK07_CON34	TASK04_CON71	0	32	20	svi	spearman	posneg	5
TASK07_CON34	TASK04_CON72	0	32	21	svi	spearman	posneg	5
TASK07_CON34	TASK04_CON73	0	32	22	svi	spearman	posneg	5
TASK07_CON34	TASK05_CON13	67	32	23	svi	spearman	posneg	5
TASK07_CON34	TASK05_CON14	302	32	24	svi	spearman	posneg	5
TASK07_CON34	TASK05_CON15	0	32	25	svi	spearman	posneg	5
TASK07_CON34	TASK06_CON01	0	32	26	svi	spearman	posneg	5
TASK07_CON34	TASK06_CON02	0	32	27	svi	spearman	posneg	5
TASK07_CON34	TASK06_CON06	0	32	28	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON31	0	32	29	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON32	0	32	30	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON33	0	32	31	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON34	0	32	32	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON35	0	32	33	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON36	0	32	34	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON37	0	32	35	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON38	0	32	36	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON39	131	32	37	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON40	0	32	38	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON41	0	32	39	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON45	0	32	40	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON46	0	32	41	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON47	0	32	42	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON48	0	32	43	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON49	0	32	44	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON50	0	32	45	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON51	0	32	46	svi	spearman	posneg	5
TASK07_CON34	TASK07_CON52	0	32	47	svi	spearman	posneg	5
TASK07_CON35	TASK01_CON07	0	33	1	svi	spearman	posneg	5
TASK07_CON35	TASK01_CON08	0	33	2	svi	spearman	posneg	5
TASK07_CON35	TASK01_CON09	0	33	3	svi	spearman	posneg	5
TASK07_CON35	TASK02_CON25	0	33	4	svi	spearman	posneg	5
TASK07_CON35	TASK02_CON26	0	33	5	svi	spearman	posneg	5
TASK07_CON35	TASK02_CON27	0	33	6	svi	spearman	posneg	5
TASK07_CON35	TASK03_CON19	0	33	7	svi	spearman	posneg	5
TASK07_CON35	TASK03_CON20	0	33	8	svi	spearman	posneg	5
TASK07_CON35	TASK03_CON22	0	33	9	svi	spearman	posneg	5
TASK07_CON35	TASK04_CON61	0	33	10	svi	spearman	posneg	5
TASK07_CON35	TASK04_CON62	0	33	11	svi	spearman	posneg	5
TASK07_CON35	TASK04_CON63	0	33	12	svi	spearman	posneg	5
TASK07_CON35	TASK04_CON64	0	33	13	svi	spearman	posneg	5
TASK07_CON35	TASK04_CON65	0	33	14	svi	spearman	posneg	5
TASK07_CON35	TASK04_CON66	0	33	15	svi	spearman	posneg	5
TASK07_CON35	TASK04_CON67	0	33	16	svi	spearman	posneg	5
TASK07_CON35	TASK04_CON68	0	33	17	svi	spearman	posneg	5
TASK07_CON35	TASK04_CON69	0	33	18	svi	spearman	posneg	5
TASK07_CON35	TASK04_CON70	0	33	19	svi	spearman	posneg	5
TASK07_CON35	TASK04_CON71	0	33	20	svi	spearman	posneg	5
