	TASK01_CON07_groupB_tstat1.nii.gz	TASK04_CON64_groupB_tstat1.nii.gz	TASK07_CON50_groupB_tstat1.nii.gz	TASK04_CON69_groupB_tstat1.nii.gz	TASK07_CON31_groupB_tstat1.nii.gz	TASK07_CON34_groupB_tstat1.nii.gz	TASK02_CON27_groupB_tstat1.nii.gz	TASK05_CON13_groupB_tstat1.nii.gz	TASK07_CON51_groupB_tstat1.nii.gz	TASK04_CON71_groupB_tstat1.nii.gz	TASK06_CON01_groupB_tstat1.nii.gz	TASK07_CON38_groupB_tstat1.nii.gz	TASK07_CON35_groupB_tstat1.nii.gz	TASK04_CON65_groupB_tstat1.nii.gz	TASK07_CON40_groupB_tstat1.nii.gz	TASK07_CON45_groupB_tstat1.nii.gz	TASK01_CON08_groupB_tstat1.nii.gz	TASK07_CON52_groupB_tstat1.nii.gz	TASK07_CON33_groupB_tstat1.nii.gz	TASK05_CON14_groupB_tstat1.nii.gz	TASK06_CON02_groupB_tstat1.nii.gz	TASK07_CON37_groupB_tstat1.nii.gz	TASK07_CON32_groupB_tstat1.nii.gz	TASK07_CON49_groupB_tstat1.nii.gz	TASK07_CON47_groupB_tstat1.nii.gz	TASK07_CON46_groupB_tstat1.nii.gz	TASK07_CON48_groupB_tstat1.nii.gz	TASK04_CON68_groupB_tstat1.nii.gz	TASK04_CON61_groupB_tstat1.nii.gz	TASK04_CON62_groupB_tstat1.nii.gz	TASK06_CON06_groupB_tstat1.nii.gz	TASK03_CON22_groupB_tstat1.nii.gz	TASK07_CON39_groupB_tstat1.nii.gz	TASK03_CON19_groupB_tstat1.nii.gz	TASK03_CON20_groupB_tstat1.nii.gz	TASK04_CON67_groupB_tstat1.nii.gz	TASK04_CON72_groupB_tstat1.nii.gz	TASK04_CON70_groupB_tstat1.nii.gz	TASK04_CON66_groupB_tstat1.nii.gz	TASK05_CON15_groupB_tstat1.nii.gz	TASK07_CON36_groupB_tstat1.nii.gz	TASK07_CON41_groupB_tstat1.nii.gz	TASK04_CON73_groupB_tstat1.nii.gz	TASK02_CON25_groupB_tstat1.nii.gz	TASK04_CON63_groupB_tstat1.nii.gz	TASK01_CON09_groupB_tstat1.nii.gz	TASK02_CON26_groupB_tstat1.nii.gz
TASK06_CON02_groupB_tstat1.nii.gz	0.624623	0.0892799	-0.239552	-0.00515418	0.570727	0.524251	-0.184486	0.581441	0.160949	0.0263441	0.900199	0.563189	0.615817	0.0707611	0.584081	0.596862	0.543377	0.029356	0.537204	0.556256	1.0	0.531226	0.556229	0.024557	0.537884	0.559854	0.550395	0.48123	0.494774	0.0820305	0.499688	-0.0626689	0.557213	0.28801	0.208253	0.107693	-0.0650156	-0.0964158	0.143372	-0.119691	0.51857	0.174163	0.143396	0.533692	0.0550554	0.322149	0.543799
TASK07_CON37_groupB_tstat1.nii.gz	0.72297	-0.00119563	-0.523256	-0.0833841	0.839689	0.853985	-0.183191	0.82516	0.55789	-0.0177998	0.562972	0.902888	0.816388	0.135907	0.933888	0.840168	0.669513	0.242548	0.89547	0.820502	0.531226	1.0	0.806953	-0.366247	0.961562	0.82793	0.896495	0.35371	0.356544	-0.0330286	0.164	-0.341709	0.870931	0.308088	0.0241573	0.0149083	0.164748	-0.0385236	0.00558611	-0.318013	0.784358	0.250469	0.0347589	0.765559	0.00666865	0.319181	0.780653
TASK07_CON32_groupB_tstat1.nii.gz	0.637032	0.0742065	-0.192576	-0.071614	0.908441	0.879026	-0.115705	0.790768	0.230854	0.0123879	0.593462	0.836453	0.837965	0.199371	0.874032	0.900676	0.57248	0.0659825	0.88577	0.832598	0.556229	0.806953	1.0	-0.132156	0.875552	0.962463	0.892003	0.36651	0.391812	0.0341788	0.168861	-0.502164	0.948814	0.434042	0.0172725	0.0851753	0.147477	-0.0880589	0.084635	-0.473175	0.786229	0.608415	0.0985883	0.824841	0.0434833	0.303261	0.827287
TASK07_CON49_groupB_tstat1.nii.gz	-0.0835628	0.245732	0.103374	0.0429043	-0.00784412	-0.101229	-0.0150199	-0.100234	-0.761302	0.109587	0.0473807	-0.255519	0.0553928	0.132864	-0.1708	0.0481322	0.00403142	-0.141363	-0.29957	-0.0956396	0.024557	-0.366247	-0.132156	1.0	-0.324827	-0.132287	-0.159825	0.0684376	0.148571	0.216104	0.00918846	-0.142027	-0.114242	0.145223	0.0111782	0.228405	-0.143492	-0.112307	0.216251	0.130314	-0.171571	0.105665	0.105623	-0.0317218	0.148706	-0.199792	-0.0289785
TASK07_CON47_groupB_tstat1.nii.gz	0.677322	0.000267329	-0.492316	-0.0688207	0.885174	0.879392	-0.17153	0.843426	0.54374	0.0131719	0.57744	0.901643	0.821968	0.120943	0.932716	0.874903	0.629946	0.176854	0.976133	0.860377	0.537884	0.961562	0.875552	-0.324827	1.0	0.8742	0.918806	0.37509	0.367673	-0.0399598	0.153586	-0.458322	0.936266	0.356287	-0.0225588	-0.00217315	0.165057	-0.052638	-0.00479439	-0.396223	0.769661	0.429356	0.0383744	0.79815	-0.0206061	0.291425	0.811891
TASK07_CON46_groupB_tstat1.nii.gz	0.694387	0.128593	-0.154218	-0.0696256	0.924721	0.896528	-0.122396	0.810098	0.183432	0.00328023	0.586379	0.853097	0.865119	0.274242	0.926294	0.924216	0.626525	0.0754055	0.87015	0.835492	0.559854	0.82793	0.962463	-0.132287	0.8742	1.0	0.907402	0.366819	0.419221	0.0909787	0.187895	-0.442689	0.947658	0.454589	0.0927846	0.153306	0.159812	-0.120787	0.127362	-0.413145	0.910477	0.495445	0.0991931	0.814593	0.0820551	0.327028	0.820339
TASK07_CON48_groupB_tstat1.nii.gz	0.769194	0.0822575	-0.487124	-0.0638536	0.92982	0.974438	-0.172393	0.899032	0.273577	-0.00327617	0.604813	0.954373	0.906992	0.207323	0.962615	0.945442	0.744543	0.386437	0.900093	0.905597	0.550395	0.896495	0.892003	-0.159825	0.918806	0.907402	1.0	0.445757	0.478005	0.049958	0.123565	-0.454724	0.96144	0.467562	0.090501	0.105539	0.136053	-0.0834758	0.0870002	-0.363481	0.827375	0.42086	0.0796857	0.857157	0.0639862	0.275087	0.870131
TASK04_CON68_groupB_tstat1.nii.gz	0.450105	0.0395535	-0.347379	0.0860319	0.442622	0.475085	-0.179912	0.598165	0.0696714	0.0999556	0.564655	0.419985	0.478807	-0.146186	0.402548	0.457718	0.422126	0.212147	0.406861	0.52901	0.48123	0.35371	0.36651	0.0684376	0.37509	0.366819	0.445757	1.0	0.907517	0.0352221	-0.0303331	-0.33705	0.416334	0.258666	-0.0591801	0.0173638	-0.24899	-0.210137	0.100525	0.0216897	0.366654	0.198994	0.177482	0.454621	-0.125544	0.183724	0.460891
TASK04_CON61_groupB_tstat1.nii.gz	0.483513	0.35744	-0.27608	0.107616	0.471652	0.506446	-0.175907	0.614368	-0.0470692	0.0983091	0.596427	0.438861	0.524898	0.148353	0.446883	0.503556	0.502909	0.214706	0.387491	0.541853	0.494774	0.356544	0.391812	0.148571	0.367673	0.419221	0.478005	0.907517	1.0	0.360245	-0.0653771	-0.375745	0.440369	0.358754	0.015814	0.394049	-0.371816	-0.362487	0.410149	0.0498625	0.438247	0.186634	0.307044	0.493048	0.138534	0.10311	0.500976
TASK04_CON62_groupB_tstat1.nii.gz	0.0377021	0.847452	0.155153	0.540389	0.0606541	0.065819	-0.0192388	0.0492946	-0.284031	0.219162	0.155333	0.000392617	0.074464	0.633616	0.0609529	0.0874239	0.177637	-0.0187319	-0.0527122	0.0338296	0.0820305	-0.0330286	0.0341788	0.216104	-0.0399598	0.0909787	0.049958	0.0352221	0.360245	1.0	-0.14546	-0.164789	0.0420787	0.280157	0.147678	0.880109	-0.376597	-0.399542	0.594116	0.0799163	0.128818	0.0516005	0.0765907	0.0883313	0.581812	-0.256059	0.0993438
TASK06_CON06_groupB_tstat1.nii.gz	0.244304	-0.163008	0.0581398	-0.0605422	0.145367	0.0812273	-0.0102715	0.100033	0.035758	-0.0885579	0.13968	0.172929	0.210953	-0.0442891	0.207349	0.179208	0.064715	-0.147298	0.145389	0.0935242	0.499688	0.164	0.168861	0.00918846	0.153586	0.187895	0.123565	-0.0303331	-0.0653771	-0.14546	1.0	0.308449	0.1489	0.0842792	0.339256	-0.13961	0.139288	0.138244	-0.109894	0.0135806	0.196365	-0.0976402	-0.0213313	0.0694441	-0.0322032	0.404537	0.0691629
TASK03_CON22_groupB_tstat1.nii.gz	-0.133125	-0.218637	0.23416	-0.0587318	-0.511509	-0.495307	0.107124	-0.483688	-0.0685946	-0.165462	-0.240964	-0.319956	-0.365476	-0.10586	-0.371774	-0.476085	-0.270728	0.00050125	-0.490784	-0.525673	-0.0626689	-0.341709	-0.502164	-0.142027	-0.458322	-0.442689	-0.454724	-0.33705	-0.375745	-0.164789	0.308449	1.0	-0.534219	-0.421797	0.369165	-0.163412	0.112097	0.184554	-0.16616	0.294818	-0.24052	-0.691003	-0.143047	-0.510341	-0.0504388	0.232142	-0.52961
TASK07_CON39_groupB_tstat1.nii.gz	0.702655	0.0808985	-0.382974	-0.0502445	0.963912	0.953394	-0.146852	0.870791	0.276702	0.0244744	0.605363	0.887881	0.883534	0.202869	0.93835	0.960121	0.672622	0.189414	0.937796	0.901138	0.557213	0.870931	0.948814	-0.114242	0.936266	0.947658	0.96144	0.416334	0.440369	0.0420787	0.1489	-0.534219	1.0	0.473304	0.0355754	0.085734	0.154724	-0.0749862	0.0627309	-0.432635	0.815236	0.569224	0.0641155	0.862828	0.0517995	0.259015	0.873685
TASK03_CON19_groupB_tstat1.nii.gz	0.402217	0.276879	-0.117892	0.0470069	0.457586	0.502516	0.00311699	0.472073	-0.133049	0.0273366	0.30106	0.351161	0.415034	0.285017	0.414269	0.473809	0.489339	0.154607	0.364034	0.479665	0.28801	0.308088	0.434042	0.145223	0.356287	0.454589	0.467562	0.258666	0.358754	0.280157	0.0842792	-0.421797	0.473304	1.0	0.651239	0.304815	-0.0498147	-0.0993449	0.26087	-0.1503	0.383196	0.43131	0.134217	0.451602	0.250779	-0.0517939	0.449643
