direction,thresh,strategy,accuracy_mean,up,down
posneg,13,cca.pearson,0.0425531915,0.0446368246,0.0404695584
posneg,11,cca.spearman,0.0425531915,0.0446368246,0.0404695584
posneg,12,cca.spearman,0.0425531915,0.0446368246,0.0404695584
posneg,13,cca.spearman,0.0425531915,0.0446368246,0.0404695584
posneg,12,svi.pearson,0.0425531915,0.0446368246,0.0404695584
posneg,13,svi.pearson,0.0425531915,0.0446368246,0.0404695584
posneg,12,svi.spearman,0.0425531915,0.0446368246,0.0404695584
posneg,13,svi.spearman,0.0425531915,0.0446368246,0.0404695584
pos,11,svi.pearson,0.042212766,0.0442841408,0.0401413911
pos,11,svi.spearman,0.042212766,0.0442841408,0.0401413911
posneg,11,svi.pearson,0.0419574468,0.0440195741,0.0398953195
posneg,11,svi.spearman,0.0419574468,0.0440195741,0.0398953195
pos,10,cca.spearman,0.0301196947,0.0316947783,0.028544611
pos,10,cca.pearson,0.030118126,0.0316934966,0.0285427554
posneg,9,cca.spearman,0.0288168241,0.0300912406,0.0275424077
posneg,10,cca.pearson,0.0278528335,0.029308865,0.026396802
posneg,10,cca.spearman,0.027684231,0.029137325,0.0262311369
pos,9,cca.spearman,0.0252456375,0.0264478981,0.0240433768
pos,9,cca.pearson,0.0252070155,0.0263966299,0.0240174011
